Item Fat Content,Item Identifier,Item Type,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Rating,Outlet_Age,Item_Visibility_Log,Sales_Log
Low Fat,FDE24,Baking Goods,OUT018,Tier 3,Medium,Supermarket Type2,0.09384335,14.85,4.1,2,-2.3661283762118797,4.965506817757816
Low Fat,FDZ60,Baking Goods,OUT018,Tier 3,Medium,Supermarket Type2,0.119848041,20.5,4.1,2,-2.1215306636671216,4.704649843246133
Low Fat,FDS60,Baking Goods,OUT018,Tier 3,Medium,Supermarket Type2,0.032580705,20.85,4.1,2,-3.4240350370000012,5.198861605684473
Low Fat,FDR23,Breads,OUT018,Tier 3,Medium,Supermarket Type2,0.082120687,15.85,4.1,2,-2.49956532106026,5.184235597744827
Low Fat,FDR47,Breads,OUT018,Tier 3,Medium,Supermarket Type2,0.087824967,17.85,4.1,2,-2.4324094565775414,5.283606693222173
Low Fat,FDP37,Breakfast,OUT018,Tier 3,Medium,Supermarket Type2,0.143688905,15.6,4.1,2,-1.9401046983421233,4.86135694737487
Low Fat,FDK02,Canned,OUT018,Tier 3,Medium,Supermarket Type2,0.112681821,12.5,4.1,2,-2.183187175295178,4.788691023357528
Low Fat,FDO38,Canned,OUT018,Tier 3,Medium,Supermarket Type2,0.073135768,17.25,4.1,2,-2.615437729570171,4.3605297228879945
Low Fat,FDZ55,Fruits and Vegetables,OUT018,Tier 3,Medium,Supermarket Type2,0.025512207,6.055,4.1,2,-3.668598235478511,5.079489489301429
Low Fat,FDV32,Fruits and Vegetables,OUT018,Tier 3,Medium,Supermarket Type2,0.089069748,7.785,4.1,2,-2.418335530777794,4.154984870190017
Low Fat,FDE45,Fruits and Vegetables,OUT018,Tier 3,Medium,Supermarket Type2,0.040521714,12.1,4.1,2,-3.205917300397562,5.190176322133841
Low Fat,FDI45,Fruits and Vegetables,OUT018,Tier 3,Medium,Supermarket Type2,0.037734334,13.1,4.1,2,-3.2771848827981693,5.1642452563335315
Low Fat,FDA32,Fruits and Vegetables,OUT018,Tier 3,Medium,Supermarket Type2,0.030216783,14.0,4.1,2,-3.4993577804843765,5.3827467463834004
Low Fat,FDM56,Fruits and Vegetables,OUT018,Tier 3,Medium,Supermarket Type2,1e-09,16.7,4.1,2,-20.72326583694641,4.7022170387208115
Low Fat,FDC45,Fruits and Vegetables,OUT018,Tier 3,Medium,Supermarket Type2,0.136286138,17.0,4.1,2,-1.9929986475793218,5.146974574245671
Low Fat,FDT31,Fruits and Vegetables,OUT018,Tier 3,Medium,Supermarket Type2,0.012499004,19.75,4.1,2,-4.382106317848502,5.242208284319994
Low Fat,DRM59,Hard Drinks,OUT018,Tier 3,Medium,Supermarket Type2,0.003606726,5.88,4.1,2,-5.624954843350592,5.044726205620007
Low Fat,NCN17,Health and Hygiene,OUT018,Tier 3,Medium,Supermarket Type2,0.055162827,11.0,4.1,2,-2.897465976463865,4.618439754547111
Low Fat,NCU05,Health and Hygiene,OUT018,Tier 3,Medium,Supermarket Type2,0.058975504,11.8,4.1,2,-2.8306331077308498,4.415966602278329
Low Fat,NCO53,Health and Hygiene,OUT018,Tier 3,Medium,Supermarket Type2,0.175898114,16.2,4.1,2,-1.7378503492972426,5.219062015494576
Low Fat,NCW53,Health and Hygiene,OUT018,Tier 3,Medium,Supermarket Type2,0.030619301,18.35,4.1,2,-3.4861247172300187,5.273082632036127
Low Fat,NCS30,Household,OUT018,Tier 3,Medium,Supermarket Type2,0.093405156,5.945,4.1,2,-2.370808731844869,4.8703397427104616
Low Fat,NCU42,Household,OUT018,Tier 3,Medium,Supermarket Type2,0.019586115,9.0,4.1,2,-3.9329343821598752,5.143109294545328
Low Fat,NCU18,Household,OUT018,Tier 3,Medium,Supermarket Type2,0.056067524,15.1,4.1,2,-2.881198528908453,4.947692654417746
Low Fat,NCY06,Household,OUT018,Tier 3,Medium,Supermarket Type2,0.061434045,15.25,4.1,2,-2.789791118668263,4.882777679868276
Low Fat,NCK31,Others,OUT018,Tier 3,Medium,Supermarket Type2,0.027157955,10.895,4.1,2,-3.6060852736772286,3.9370394680124714
Low Fat,FDE34,Snack Foods,OUT018,Tier 3,Medium,Supermarket Type2,0.108330902,9.195,4.1,2,-2.222564828649282,5.218534708392027
Low Fat,FDR46,Snack Foods,OUT018,Tier 3,Medium,Supermarket Type2,0.139985583,16.85,4.1,2,-1.9662158402469185,4.985495248089147
Low Fat,DRF36,Soft Drinks,OUT018,Tier 3,Medium,Supermarket Type2,0.023673342,16.1,4.1,2,-3.743405674041314,5.247469236218157
Low Fat,FDC23,Starchy Foods,OUT018,Tier 3,Medium,Supermarket Type2,0.017979145,18.0,4.1,2,-4.01854280390582,5.18944290643485
Regular,FDY24,Baking Goods,OUT018,Tier 3,Medium,Supermarket Type2,0.134037,4.88,4.1,2,-2.009639397742187,3.99507287934922
Regular,FDE36,Baking Goods,OUT018,Tier 3,Medium,Supermarket Type2,0.041942549,5.26,4.1,2,-3.1714544780543226,5.114916026998451
Regular,FDQ36,Baking Goods,OUT018,Tier 3,Medium,Supermarket Type2,0.162205516,7.855,4.1,2,-1.8188911304807893,3.6185857368939365
Regular,FDS24,Baking Goods,OUT018,Tier 3,Medium,Supermarket Type2,0.062477955,20.85,4.1,2,-2.772941504460112,4.480189559710237
Regular,FDT11,Breads,OUT018,Tier 3,Medium,Supermarket Type2,0.029492018,5.94,4.1,2,-3.523635628519913,5.242041151691401
Regular,FDY01,Canned,OUT018,Tier 3,Medium,Supermarket Type2,0.170977155,11.8,4.1,2,-1.7662253278955113,4.7713911544755625
Regular,FDG17,Frozen Foods,OUT018,Tier 3,Medium,Supermarket Type2,0.03598621,6.865,4.1,2,-3.3246194694661027,5.501864557291623
Regular,FDM04,Frozen Foods,OUT018,Tier 3,Medium,Supermarket Type2,0.04731256,9.195,4.1,2,-3.050979479621469,3.946745153655696
Regular,FDU44,Fruits and Vegetables,OUT018,Tier 3,Medium,Supermarket Type2,0.058663727,12.15,4.1,2,-2.8359336818220857,5.1068856378685075
Regular,FDO03,Meat,OUT018,Tier 3,Medium,Supermarket Type2,0.037033223,10.395,4.1,2,-3.2959398503070303,5.4334389940785215
Regular,FDR27,Meat,OUT018,Tier 3,Medium,Supermarket Type2,0.096491904,15.1,4.1,2,-2.3382961705297514,4.908928834975575
Regular,FDJ10,Snack Foods,OUT018,Tier 3,Medium,Supermarket Type2,0.130031207,5.095,4.1,2,-2.039980803488715,4.966222136840833
Regular,FDA09,Snack Foods,OUT018,Tier 3,Medium,Supermarket Type2,0.149974858,13.35,4.1,2,-1.8972876122678992,5.19720337717653
Regular,FDF10,Snack Foods,OUT018,Tier 3,Medium,Supermarket Type2,1e-09,15.5,4.1,2,-20.72326583694641,4.9988447243750525
Regular,FDZ21,Snack Foods,OUT018,Tier 3,Medium,Supermarket Type2,0.039381633,17.6,4.1,2,-3.234455738880794,4.595533905815845
Regular,FDD23,Starchy Foods,OUT018,Tier 3,Medium,Supermarket Type2,0.048883854,9.5,4.1,2,-3.0183081210731455,5.2299839204495076
Low Fat,FDT08,Fruits and Vegetables,OUT027,Tier 3,Medium,Supermarket Type3,0.048980156,13.65,4.1,6,-3.016340042489729,5.0086666910014115
Low Fat,NCZ30,Household,OUT027,Tier 3,Medium,Supermarket Type3,0.026058181,6.59,4.1,6,-3.6474235101820796,4.811450753018666
Low Fat,FDA39,Meat,OUT027,Tier 3,Medium,Supermarket Type3,0.012656359,6.32,4.1,6,-4.369595502366732,3.6605365623535437
Low Fat,FDV03,Meat,OUT027,Tier 3,Medium,Supermarket Type3,0.057809959,17.6,4.1,6,-2.850594217107862,5.057718605595694
Low Fat,FDM14,Canned,OUT027,Tier 3,Medium,Supermarket Type3,0.013199737,13.8,4.1,6,-4.327558373830726,4.69980195390492
Low Fat,FDP25,Canned,OUT027,Tier 3,Medium,Supermarket Type3,0.02110482,15.2,4.1,6,-3.8582538285686936,5.384872973023397
Low Fat,FDP38,Canned,OUT027,Tier 3,Medium,Supermarket Type3,0.031946638,10.1,4.1,6,-3.4436883306123915,3.962731328753482
Low Fat,FDF16,Frozen Foods,OUT027,Tier 3,Medium,Supermarket Type3,0.085715273,7.3,4.1,6,-2.4567242545543064,4.994557401355686
Low Fat,FDT20,Fruits and Vegetables,OUT027,Tier 3,Medium,Supermarket Type3,0.041194986,10.5,4.1,6,-3.18943872906171,3.6917852282601076
Low Fat,FDV07,Fruits and Vegetables,OUT027,Tier 3,Medium,Supermarket Type3,0.031131455,9.5,4.1,6,-3.469536556141274,4.718702422005815
Low Fat,DRM35,Hard Drinks,OUT027,Tier 3,Medium,Supermarket Type3,0.070103425,9.695,4.1,6,-2.6577836273619626,5.195367276811418
Low Fat,NCB06,Health and Hygiene,OUT027,Tier 3,Medium,Supermarket Type3,0.081933378,17.6,4.1,6,-2.5018488253597955,5.090628769788688
Low Fat,NCU17,Health and Hygiene,OUT027,Tier 3,Medium,Supermarket Type3,0.092433518,5.32,4.1,6,-2.3812656171942317,4.631494637137098
Low Fat,NCB19,Household,OUT027,Tier 3,Medium,Supermarket Type3,0.089858447,6.525,4.1,6,-2.4095196579288163,4.449547423178158
Low Fat,NCM54,Household,OUT027,Tier 3,Medium,Supermarket Type3,0.050692386,17.7,4.1,6,-2.9819795571775645,4.841567911380715
Low Fat,NCR18,Household,OUT027,Tier 3,Medium,Supermarket Type3,0.020388413,15.85,4.1,6,-3.8927885296955824,3.8157587706580816
Low Fat,NCS06,Household,OUT027,Tier 3,Medium,Supermarket Type3,0.031583053,7.935,4.1,6,-3.4551345997165486,5.5683101520260445
Low Fat,FDS03,Meat,OUT027,Tier 3,Medium,Supermarket Type3,0.079243005,7.825,4.1,6,-2.535236135104557,4.202938843618896
Low Fat,NCL31,Others,OUT027,Tier 3,Medium,Supermarket Type3,0.119698523,7.39,4.1,6,-2.1227790056756244,4.970139635211623
Low Fat,NCO55,Others,OUT027,Tier 3,Medium,Supermarket Type3,0.090596378,12.800000000000002,4.1,6,-2.4013410446572867,4.679292015188661
Low Fat,FDH09,Seafood,OUT027,Tier 3,Medium,Supermarket Type3,0.055806016,12.6,4.1,6,-2.8858736017862707,3.9796480084761465
Low Fat,FDT22,Snack Foods,OUT027,Tier 3,Medium,Supermarket Type3,0.111554381,10.395,4.1,6,-2.193243085006573,4.107951565628317
Low Fat,FDW45,Snack Foods,OUT027,Tier 3,Medium,Supermarket Type3,0.038822077,18.0,4.1,6,-3.2487661993237364,5.002211916855822
Low Fat,DRC25,Soft Drinks,OUT027,Tier 3,Medium,Supermarket Type3,1e-09,5.73,4.1,6,-20.72326583694641,4.481738476570898
Low Fat,DRD12,Soft Drinks,OUT027,Tier 3,Medium,Supermarket Type3,1e-09,6.96,4.1,6,-20.72326583694641,4.5044057587824735
Low Fat,DRG48,Soft Drinks,OUT027,Tier 3,Medium,Supermarket Type3,0.014484582,5.78,4.1,6,-4.234670505615937,4.976114240223881
Low Fat,FDD35,Starchy Foods,OUT027,Tier 3,Medium,Supermarket Type3,0.02573918,12.15,4.1,6,-3.6597409343534593,4.801920479434167
Regular,FDL12,Baking Goods,OUT027,Tier 3,Medium,Supermarket Type3,0.121043709,15.85,4.1,6,-2.1116035672087934,4.101353277032659
Regular,FDH02,Canned,OUT027,Tier 3,Medium,Supermarket Type3,1e-09,7.27,4.1,6,-20.72326583694641,4.530972363644116
Regular,FDJ26,Canned,OUT027,Tier 3,Medium,Supermarket Type3,0.084354713,15.3,4.1,6,-2.4727245972179364,5.377691235214008
Regular,FDC16,Dairy,OUT027,Tier 3,Medium,Supermarket Type3,0.0204702,11.5,4.1,6,-3.8887851089609677,4.491486237582626
Regular,FDW02,Dairy,OUT027,Tier 3,Medium,Supermarket Type3,0.037516862,4.805,4.1,6,-3.282964793736204,4.831272555678798
Regular,FDA28,Frozen Foods,OUT027,Tier 3,Medium,Supermarket Type3,0.047570401,16.1,4.1,6,-3.0455445388909035,4.842107760804254
Regular,FDN04,Frozen Foods,OUT027,Tier 3,Medium,Supermarket Type3,0.01401884,11.800000000000002,4.1,6,-4.267353139743114,5.188136362091757
Regular,FDQ40,Frozen Foods,OUT027,Tier 3,Medium,Supermarket Type3,0.035853059,11.1,4.1,6,-3.3283263878221807,5.181059692864881
Regular,FDS28,Frozen Foods,OUT027,Tier 3,Medium,Supermarket Type3,0.082002559,8.18,4.1,6,-2.501004824887749,4.098648619796606
Regular,FDA55,Fruits and Vegetables,OUT027,Tier 3,Medium,Supermarket Type3,0.056713056,17.2,4.1,6,-2.869750830204979,5.415250263160829
Regular,FDB56,Fruits and Vegetables,OUT027,Tier 3,Medium,Supermarket Type3,1e-09,8.75,4.1,6,-20.72326583694641,5.24309848236854
Regular,FDF44,Fruits and Vegetables,OUT027,Tier 3,Medium,Supermarket Type3,0.059438787,7.17,4.1,6,-2.8228082859141055,4.882777679868276
Regular,FDF57,Fruits and Vegetables,OUT027,Tier 3,Medium,Supermarket Type3,0.058542509,14.5,4.1,6,-2.838002139053652,5.133706839419481
Regular,FDG34,Snack Foods,OUT027,Tier 3,Medium,Supermarket Type3,0.037388493,11.5,4.1,6,-3.2863922956997356,4.689744763057611
Regular,FDU46,Snack Foods,OUT027,Tier 3,Medium,Supermarket Type3,0.011072421,10.3,4.1,6,-4.503297856985781,4.458455126623454
Regular,DRL01,Soft Drinks,OUT027,Tier 3,Medium,Supermarket Type3,0.076798609,19.5,4.1,6,-2.566568750971701,5.450591143236921
Regular,FDE35,Starchy Foods,OUT027,Tier 3,Medium,Supermarket Type3,1e-09,7.06,4.1,6,-20.72326583694641,4.109075526822095
Low Fat,FDM56,Fruits and Vegetables,OUT027,Tier 3,Medium,Supermarket Type3,0.069851683,16.7,4.1,6,-2.661381099081245,4.718420296779627
Low Fat,FDP10,Snack Foods,OUT027,Tier 3,Medium,Supermarket Type3,0.127469857,19.0,4.0,6,-2.0598753580205247,4.6891638475846955
Low Fat,FDY07,Fruits and Vegetables,OUT049,Tier 1,Medium,Supermarket Type1,1e-09,11.8,4.0,12,-20.72326583694641,3.840316455243511
Regular,FDP49,Breakfast,OUT046,Tier 1,Small,Supermarket Type1,0.069088961,9.0,4.0,8,-2.6723603149502786,4.0493716032459535
Low Fat,DRJ59,Hard Drinks,OUT013,Tier 3,High,Supermarket Type1,0.019356132,11.65,4.0,10,-3.9447460104834935,3.6917852282601076
Low Fat,FDV49,Canned,OUT045,Tier 2,Small,Supermarket Type1,0.025879577,10.0,4.0,9,-3.6543011541507098,5.584332800929833
Regular,FDR13,Canned,OUT013,Tier 3,High,Supermarket Type1,0.028696932,9.895,4.0,10,-3.550965060885366,4.771101486719063
Low Fat,FDA43,Fruits and Vegetables,OUT017,Tier 2,Small,Supermarket Type1,0.065041581,10.895,4.0,4,-2.732728505919938,5.285127764917577
Regular,FDV27,Meat,OUT045,Tier 2,Small,Supermarket Type1,0.040071131,7.97,4.0,9,-3.2170991291272277,4.481322044706937
Regular,FDY40,Frozen Foods,OUT019,Tier 1,Small,Grocery Store,0.15028599,15.5,4.0,6,-1.8952152001407176,3.9525736031236143
Regular,FDZ03,Dairy,OUT045,Tier 2,Small,Supermarket Type1,0.078946455,13.65,4.0,9,-2.538985441125209,5.231236950865415
Regular,FDJ58,Snack Foods,OUT046,Tier 1,Small,Supermarket Type1,0.105296072,15.6,4.0,8,-2.250979163481949,5.142694603738103
Low Fat,FDU04,Frozen Foods,OUT019,Tier 1,Small,Grocery Store,0.009714595,7.93,4.0,6,-4.6341258851328755,4.796132635837532
Regular,FDB56,Fruits and Vegetables,OUT046,Tier 1,Small,Supermarket Type1,0.074627201,8.75,4.0,8,-2.595250213566961,5.240982701882706
Low Fat,DRK49,Soft Drinks,OUT013,Tier 3,High,Supermarket Type1,0.035913805,14.15,4.0,10,-3.326633517014639,3.747473780981602
Regular,FDV11,Breads,OUT045,Tier 2,Small,Supermarket Type1,1e-09,9.1,4.0,9,-20.72326583694641,5.160235062789842
Low Fat,FDP25,Canned,OUT017,Tier 2,Small,Supermarket Type1,0.021327477,15.2,4.0,4,-3.847759037601886,5.383955467692552
Low Fat,NCM43,Others,OUT035,Tier 2,Small,Supermarket Type1,0.019471688,14.5,4.0,7,-3.9387937658727306,5.110908893305518
Low Fat,FDO24,Baking Goods,OUT045,Tier 2,Small,Supermarket Type1,0.176573035,11.1,4.0,9,-1.7340206921647598,5.065504719830262
Regular,FDF24,Baking Goods,OUT010,Tier 3,Small,Grocery Store,0.042464962,15.5,4.0,13,-3.159075966605151,4.413929774186806
Low Fat,DRM47,Hard Drinks,OUT027,Tier 3,Medium,Supermarket Type3,0.04357366,9.3,4.0,6,-3.1333024396266316,5.267263136711811
Low Fat,FDY25,Canned,OUT013,Tier 3,High,Supermarket Type1,0.033946163,12.0,4.0,10,-3.3829794505103794,5.195163303770626
Low Fat,FDQ04,Frozen Foods,OUT019,Tier 1,Small,Grocery Store,0.148392623,6.4,4.0,6,-1.9078936597270397,3.75137526533948
Regular,FDW04,Frozen Foods,OUT046,Tier 1,Small,Supermarket Type1,0.057827101,8.985,4.0,8,-2.8502977377590173,4.8662336047225345
Low Fat,FDC41,Frozen Foods,OUT019,Tier 1,Small,Grocery Store,0.2047,15.6,4.0,6,-1.5862097863148932,4.355002243098718
Low Fat,DRI01,Soft Drinks,OUT046,Tier 1,Small,Supermarket Type1,0.034452949,7.97,4.0,8,-3.368160682863933,5.165027087710391
Regular,FDN39,Meat,OUT027,Tier 3,Medium,Supermarket Type3,0.065203103,19.35,4.0,6,-2.7302482191574544,5.1184823158340205
Regular,FDO51,Meat,OUT013,Tier 3,High,Supermarket Type1,0.041947547,6.785,4.0,10,-3.1713353221528697,3.7426855886724635
Low Fat,FDW49,Canned,OUT018,Tier 3,Medium,Supermarket Type2,0.082888496,19.5,4.0,2,-2.49025899607221,5.190733269453225
Regular,FDL52,Frozen Foods,OUT017,Tier 2,Small,Supermarket Type1,0.046350909,6.635,4.0,4,-3.0715143755120935,3.6493743005113055
Regular,FDN58,Snack Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.056960814,13.8,4.0,12,-2.8653917212501914,5.442843593846589
Low Fat,NCX41,Health and Hygiene,OUT046,Tier 1,Small,Supermarket Type1,0.017719277,19.0,4.0,8,-4.033102135992002,5.35670136238879
Low Fat,FDB11,Starchy Foods,OUT013,Tier 3,High,Supermarket Type1,0.060797393,16.0,4.0,10,-2.80020836921879,5.415390817175167
Low Fat,FDU08,Fruits and Vegetables,OUT035,Tier 2,Small,Supermarket Type1,0.027310252,10.3,4.0,7,-3.600493116149861,4.625013988907131
Low Fat,NCC42,Health and Hygiene,OUT013,Tier 3,High,Supermarket Type1,0.044871033,15.0,4.0,10,-3.103962837195509,4.951478178299272
Low Fat,FDQ20,Fruits and Vegetables,OUT013,Tier 3,High,Supermarket Type1,0.029760052,8.325,4.0,10,-3.5145883217069445,3.6816987343447067
Low Fat,NCT54,Household,OUT035,Tier 2,Small,Supermarket Type1,0.119513002,8.695,4.0,7,-2.1243301101819463,4.547640644465254
Low Fat,FDC02,Canned,OUT010,Tier 3,Small,Grocery Store,0.115194717,21.35,4.0,13,-2.1611313911469194,5.558092898521725
Low Fat,FDN48,Baking Goods,OUT027,Tier 3,Medium,Supermarket Type3,0.064636203,13.35,4.0,6,-2.7389806072124223,4.511742632929417
Low Fat,FDB15,Dairy,OUT010,Tier 3,Medium,Grocery Store,0.228993134,10.895,4.0,13,-1.4740632584101336,5.577677910926906
Regular,FDC08,Fruits and Vegetables,OUT017,Tier 2,Medium,Supermarket Type1,0.104035148,19.0,4.0,4,-2.2630264753984397,5.432725874394513
Low Fat,FDK44,Fruits and Vegetables,OUT046,Tier 1,Small,Supermarket Type1,1e-09,16.6,4.0,8,-20.72326583694641,5.161201270831521
Low Fat,FDG53,Frozen Foods,OUT013,Tier 3,High,Supermarket Type1,0.045818773,10.0,4.0,10,-3.0830613810146015,4.9396261054932085
Regular,FDW03,Meat,OUT049,Tier 1,Medium,Supermarket Type1,0.024579432,5.63,4.0,12,-3.7058452833293107,4.666553108457194
Low Fat,FDC17,Frozen Foods,OUT018,Tier 3,Medium,Supermarket Type2,0.015523707,12.15,4.0,2,-4.165386939655139,5.361727751579298
Low Fat,NCH30,Household,OUT035,Tier 2,Small,Supermarket Type1,0.067141355,17.1,4.0,7,-2.700955105924036,4.750014841637764
Regular,FDQ48,Baking Goods,OUT035,Tier 2,Small,Supermarket Type1,0.034404732,14.3,4.0,7,-3.369561165923503,4.596861766460489
Low Fat,NCE07,Household,OUT017,Tier 2,Medium,Supermarket Type1,0.0132043,8.18,4.0,4,-4.327212744861534,4.975459827887634
Regular,FDP13,Canned,OUT049,Tier 1,Medium,Supermarket Type1,0.134532392,8.1,4.0,12,-2.0059502762220314,3.7000171985243924
Low Fat,FDU13,Canned,OUT018,Tier 3,Medium,Supermarket Type2,0.188322664,8.355,4.0,2,-1.6695984894359865,5.007575952412527
Regular,FDM08,Fruits and Vegetables,OUT046,Tier 1,Small,Supermarket Type1,0.053584207,10.1,4.0,8,-2.926500899844289,5.417915642547206
Regular,FDB56,Fruits and Vegetables,OUT018,Tier 3,Medium,Supermarket Type2,0.074931201,8.75,4.0,2,-2.591184906441296,5.239923130570854
Low Fat,NCB18,Household,OUT018,Tier 3,Medium,Supermarket Type2,0.041459372,19.6,4.0,2,-3.183041319218986,4.507021381097046
Regular,FDR16,Frozen Foods,OUT018,Tier 3,Medium,Supermarket Type2,0.105445801,5.845,4.0,2,-2.2495581926700035,5.372597966657838
Regular,FDF44,Fruits and Vegetables,OUT018,Tier 3,Medium,Supermarket Type2,0.05997133,7.17,4.0,2,-2.813888664292097,4.891827733793683
Regular,FDU50,Dairy,OUT017,Tier 2,Medium,Supermarket Type1,0.075595405,5.75,4.0,4,-2.582359778067135,4.751152740176306
Low Fat,NCU17,Health and Hygiene,OUT049,Tier 1,Medium,Supermarket Type1,0.093027718,5.32,4.0,12,-2.3748577872241237,4.629544699209735
Low Fat,NCQ53,Health and Hygiene,OUT017,Tier 2,Medium,Supermarket Type1,0.019012262,17.6,4.0,4,-3.962671139555288,5.472938517840795
Regular,FDZ28,Frozen Foods,OUT046,Tier 1,Small,Supermarket Type1,1e-09,20.0,4.0,8,-20.72326583694641,4.854899580989396
Regular,FDO52,Frozen Foods,OUT027,Tier 3,Medium,Supermarket Type3,0.076790922,11.6,4.0,6,-2.5666688489400507,5.153930696586906
Regular,FDJ03,Dairy,OUT045,Tier 2,Medium,Supermarket Type1,0.072541731,12.35,4.0,9,-2.623593282715647,3.903369673108626
Regular,FDQ51,Meat,OUT013,Tier 3,High,Supermarket Type1,0.017536671,16.0,4.0,10,-4.04346110480625,3.8409952077397134
Low Fat,NCQ42,Household,OUT049,Tier 1,Medium,Supermarket Type1,0.039329257,20.35,4.0,12,-3.2357865841483413,4.857233889048084
Regular,FDA03,Dairy,OUT035,Tier 2,Small,Supermarket Type1,1e-09,18.5,4.0,7,-20.72326583694641,4.9781823478573095
Low Fat,NCR29,Health and Hygiene,OUT045,Tier 2,Medium,Supermarket Type1,0.054751689,7.565,4.0,9,-2.904947061446289,4.021648413489329
Regular,FDY03,Meat,OUT046,Tier 1,Small,Supermarket Type1,0.076121831,17.6,4.0,8,-2.5754201827184184,4.724908641896871
Regular,FDC10,Snack Foods,OUT027,Tier 3,Medium,Supermarket Type3,0.07252476,9.8,4.0,6,-2.6238272581838675,4.798347604112769
Regular,FDK26,Canned,OUT035,Tier 2,Small,Supermarket Type1,0.03217132,5.46,4.0,7,-3.4366799065555846,5.2247999891896395
Low Fat,FDO36,Baking Goods,OUT027,Tier 3,Medium,Supermarket Type3,0.07753654,19.7,4.0,6,-2.557005969865464,5.203270152165275
Regular,FDA09,Snack Foods,OUT045,Tier 2,Medium,Supermarket Type1,0.149669322,13.35,4.0,9,-1.8993269384172669,5.199965565700769
Regular,FDP03,Meat,OUT035,Tier 2,Small,Supermarket Type1,0.061165512,5.15,4.0,7,-2.794171777717998,4.841338939848772
Regular,FDS44,Fruits and Vegetables,OUT049,Tier 1,Medium,Supermarket Type1,0.156286566,12.65,4.0,12,-1.8560639953445968,5.480446404811488
Low Fat,NCI54,Household,OUT018,Tier 3,Medium,Supermarket Type2,0.033735909,15.2,4.0,2,-3.3891924599567402,4.718420296779627
Regular,FDL48,Baking Goods,OUT010,Tier 3,Medium,Grocery Store,0.137697119,19.35,4.0,13,-1.9826987957612459,3.873352860684259
Low Fat,FDG45,Fruits and Vegetables,OUT018,Tier 3,Medium,Supermarket Type2,1e-09,8.1,4.0,2,-20.72326583694641,5.360776539839505
Regular,FDI41,Frozen Foods,OUT027,Tier 3,Medium,Supermarket Type3,0.061955439,18.5,4.0,6,-2.781339878150713,4.984577383243562
Low Fat,FDD05,Frozen Foods,OUT013,Tier 3,High,Supermarket Type1,0.016597651,19.35,4.0,10,-4.098494099656658,4.808191026784952
Low Fat,FDO57,Snack Foods,OUT046,Tier 1,Small,Supermarket Type1,0.108710162,20.75,4.0,8,-2.2190700025640453,5.092263206207533
Low Fat,NCP06,Household,OUT027,Tier 3,Medium,Supermarket Type3,0.039055756,20.7,4.0,6,-3.2427650127906222,5.032635504935922
Low Fat,FDC37,Baking Goods,OUT049,Tier 1,Medium,Supermarket Type1,0.032924463,15.5,4.0,12,-3.413539341280787,4.684847903984076
Low Fat,FDN01,Breakfast,OUT049,Tier 1,Medium,Supermarket Type1,0.072511335,8.895,4.0,12,-2.6240123845145007,5.184235597744827
Low Fat,FDH38,Canned,OUT049,Tier 1,Medium,Supermarket Type1,0.010454459,6.425,4.0,12,-4.560726693016668,4.759442001335289
Low Fat,FDG50,Canned,OUT049,Tier 1,Medium,Supermarket Type1,0.015295536,7.405,4.0,12,-4.180194257861232,4.507718314398306
Low Fat,FDU13,Canned,OUT049,Tier 1,Medium,Supermarket Type1,0.187850233,8.355,4.0,12,-1.6721102666115841,4.99411152546307
Low Fat,FDH27,Dairy,OUT049,Tier 1,Medium,Supermarket Type1,0.058437653,7.075,4.0,12,-2.8397948537548405,4.969902184514506
Low Fat,FDB39,Dairy,OUT049,Tier 1,Medium,Supermarket Type1,0.038578846,11.6,4.0,12,-3.255051183823359,4.04528036050781
Low Fat,DRE27,Dairy,OUT049,Tier 1,Medium,Supermarket Type1,0.132876847,11.85,4.0,12,-2.018332542134413,4.595852914710419
Low Fat,FDX14,Dairy,OUT049,Tier 1,Medium,Supermarket Type1,0.075056542,13.1,4.0,12,-2.5895135561473266,4.34426505646525
Low Fat,DRE03,Dairy,OUT049,Tier 1,Medium,Supermarket Type1,0.024264569,19.6,4.0,12,-3.7187380584916503,3.862240148702458
Low Fat,FDJ53,Frozen Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.071368699,10.5,4.0,12,-2.639895895113048,4.806557170308662
Low Fat,FDF05,Frozen Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.026912667,17.5,4.0,12,-3.615158211015971,5.56945457442751
Low Fat,FDI52,Frozen Foods,OUT049,Tier 1,Medium,Supermarket Type1,0.104840884,18.7,4.0,12,-2.2553114686662568,4.813055520513298
Low Fat,FDH57,Fruits and Vegetables,OUT049,Tier 1,Medium,Supermarket Type1,0.0358031,10.895,4.0,12,-3.329720797145598,4.877701056472524
Low Fat,FDS43,Fruits and Vegetables,OUT049,Tier 1,Medium,Supermarket Type1,0.040577878,11.65,4.0,12,-3.204532237721075,5.242931498467302
Low Fat,FDE21,Fruits and Vegetables,OUT049,Tier 1,Medium,Supermarket Type1,0.022980361,12.8,4.0,12,-3.7731152973724718,4.777013706049953
Low Fat,FDY19,Fruits and Vegetables,OUT049,Tier 1,Medium,Supermarket Type1,0.041429246,19.75,4.0,12,-3.1837682224308725,4.7727722743159715
